Class,_RMSenergy_Mean,_Lowenergy_Mean,_Fluctuation_Mean,_Tempo_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Roughness_Mean,_Roughness_Slope
relax,0.052,0.591,9.136,130.043,3.997,0.363,0.887,0.078,0.221,0.118,-0.151,-0.131,0.129,0.154,0.274,0.232,0.246,51.542,0.325
relax,0.125,0.439,6.68,142.24,4.058,0.516,0.785,0.397,0.556,0.799,-0.403,-0.264,-0.057,0.288,0.309,0.049,0.027,336.839,0.366
relax,0.046,0.639,10.578,188.154,2.775,0.903,0.502,0.329,0.287,0.14,-0.246,0.025,-0.112,-0.422,0.018,0.179,0.138,39.864,0.224
relax,0.135,0.603,10.442,65.991,2.841,1.552,0.612,0.351,0.011,0.143,0.047,0.242,0.018,0.168,0.141,0.245,0.146,353.744,0.215
relax,0.066,0.591,9.769,88.89,3.217,0.228,0.814,0.096,0.434,0.285,0.104,0.013,-0.235,-0.207,-0.276,-0.294,-0.19,46.884,-0.118
relax,0.137,0.51,7.664,116.044,2.313,-0.082,0.365,0.033,-0.136,-0.579,-0.138,-0.033,-0.018,0.368,0.117,0.01,-0.02,249.382,0.04
relax,0.123,0.533,7.483,136.444,4.572,1.171,0.939,0.358,0.024,0.201,0.115,0.032,-0.088,-0.288,-0.012,-0.332,-0.17,336.252,0.272
relax,0.103,0.575,7.006,141.132,3.495,0.553,0.275,0.269,0.257,0.544,-0.002,-0.084,0.009,0.202,-0.101,-0.091,-0.073,293.372,0.345
relax,0.145,0.542,6.846,82.048,4.01,0.55,0.568,0.559,0.218,-0.029,-0.196,-0.187,0.052,-0.177,0.21,-0.025,0.277,737.908,0.38
relax,0.129,0.618,8.668,93.02,2.318,0.744,0.537,-0.116,0.119,0.069,0.147,-0.027,-0.139,0.124,0.009,0.031,0.012,215.057,0.185
relax,0.142,0.534,6.85,82.256,4.006,0.547,0.579,0.55,0.21,-0.033,-0.197,-0.182,0.048,-0.184,0.218,-0.034,0.296,685.05,0.337
relax,0.08,0.566,8.774,76.84,2.792,0.747,0.263,0.622,0.306,-0.022,-0.444,-0.245,0.202,0.133,0.235,-0.056,0.071,182.241,0.086
relax,0.132,0.557,5.928,103.599,4.165,-0.32,0.521,0.012,0.202,0.015,-0.321,0.089,-0.05,0.205,-0.033,0.211,0.015,388.437,0.236
relax,0.068,0.659,8.58,182.302,2.847,0.211,0.781,0.657,0.008,0.246,-0.297,0.107,0.036,0.267,-0.091,0.187,0.119,61.486,0.169
relax,0.042,0.555,6.203,110.361,2.67,0.024,0.207,0.248,-0.054,0.129,0.105,0.268,-0.204,0.252,0.192,0.259,0.324,39.363,0.005
relax,0.177,0.583,8.026,64.156,2.205,0.484,0.922,0.269,0.541,0.079,-0.153,-0.008,-0.084,0.191,-0.021,-0.171,-0.011,651.88,-0.074
relax,0.14,0.522,7.122,157.623,1.902,0.682,0.818,0.314,0.42,0.27,0.298,0.158,0.103,0.028,0.012,0.012,0.053,582.645,-0.013
relax,0.127,0.567,7.115,77.25,2.58,0.397,0.573,0.351,0.22,0.33,0.021,-0.15,-0.187,-0.185,-0.116,-0.07,-0.063,219.118,0.158
relax,0.074,0.556,6.449,121.659,2.829,0.324,0.498,0.071,0.025,-0.033,-0.083,-0.151,-0.156,0.069,0.167,0.134,0.095,110.173,0.263
relax,0.246,0.513,7.155,144.558,2.431,0.366,0.611,0.066,0.166,0.167,0.136,0.079,0.028,-0.058,0.033,0.063,-0.296,1545.974,0.093
relax,0.222,0.556,7.344,68.658,3.213,0.805,0.612,0.598,0.065,0.325,-0.09,0.026,-0.289,-0.13,-0.158,0.054,-0.117,752.047,0.005
relax,0.071,0.529,5.49,116.302,1.602,-0.129,0.238,-0.289,-0.027,-0.065,-0.012,-0.042,-0.108,0.084,-0.034,0.004,0.051,180.166,0.09
relax,0.063,0.652,6.282,72.059,4.829,-0.323,0.844,-0.124,0.549,-0.142,0.238,-0.185,-0.033,-0.153,-0.122,-0.095,0.014,71.955,0.244
